epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,122921,1.00261,0.45974,0.90649,0.91746,0.90552,0.89486,0.62962,1.14832,0.61908,0.95203,0.002921,0.002921,0.002921
44,125739,0.98693,0.45376,0.90849,0.91574,0.89209,0.89465,0.63738,1.13478,0.63364,0.95531,0.0028715,0.0028715,0.0028715
45,128600,0.99241,0.45385,0.90652,0.92311,0.90271,0.90141,0.64391,1.14287,0.62996,0.94773,0.002822,0.002822,0.002822
46,131423,0.98951,0.4499,0.90579,0.92723,0.89674,0.89617,0.64052,1.13797,0.63921,0.95097,0.0027725,0.0027725,0.0027725
47,134257,0.98684,0.44997,0.90366,0.92173,0.90389,0.89146,0.63446,1.14385,0.65846,0.95035,0.002723,0.002723,0.002723
48,137093,0.98614,0.44852,0.90456,0.91657,0.90581,0.88917,0.63189,1.13935,0.62215,0.94974,0.0026735,0.0026735,0.0026735
49,139944,0.97851,0.44372,0.90287,0.91667,0.90054,0.88647,0.62757,1.1351,0.61795,0.95094,0.002624,0.002624,0.002624
50,142884,0.97436,0.44357,0.90354,0.91697,0.89579,0.89717,0.63056,1.13654,0.6444,0.95274,0.0025745,0.0025745,0.0025745
51,145854,0.96791,0.43721,0.90549,0.91924,0.91178,0.89528,0.63849,1.1599,0.63252,0.9558,0.002525,0.002525,0.002525
52,148839,0.97615,0.44563,0.90521,0.92017,0.90973,0.89738,0.62864,1.14074,0.65064,0.9523,0.0024755,0.0024755,0.0024755
53,151784,0.96552,0.43559,0.9018,0.92268,0.89929,0.89872,0.63399,1.14719,0.61777,0.95393,0.002426,0.002426,0.002426
54,154676,0.94956,0.43401,0.89524,0.92266,0.90694,0.90179,0.64917,1.1442,0.64365,0.94647,0.0023765,0.0023765,0.0023765
55,157579,0.94478,0.42679,0.89512,0.91396,0.90473,0.90041,0.6425,1.13218,0.62058,0.94949,0.002327,0.002327,0.002327
56,160481,0.9467,0.42454,0.89501,0.923,0.91126,0.90085,0.63697,1.13746,0.63394,0.94745,0.0022775,0.0022775,0.0022775
57,163395,0.94092,0.42359,0.89388,0.92137,0.90588,0.90985,0.64929,1.1424,0.61121,0.95295,0.002228,0.002228,0.002228
58,166367,0.95247,0.42722,0.89685,0.91473,0.91198,0.90068,0.64595,1.14676,0.62112,0.9457,0.0021785,0.0021785,0.0021785
59,169326,0.93491,0.41886,0.89247,0.9156,0.91394,0.90032,0.63122,1.12806,0.6246,0.94762,0.002129,0.002129,0.002129
60,172250,0.93392,0.42149,0.89503,0.91065,0.91244,0.90064,0.64672,1.14422,0.6367,0.95019,0.0020795,0.0020795,0.0020795
61,175084,0.93216,0.41928,0.89378,0.90928,0.90851,0.89925,0.64476,1.14445,0.61222,0.95126,0.00203,0.00203,0.00203
62,177911,0.93591,0.41887,0.89396,0.91367,0.9058,0.89691,0.63363,1.14466,0.63462,0.94826,0.0019805,0.0019805,0.0019805
63,180744,0.93112,0.41669,0.89529,0.91693,0.90592,0.9051,0.64532,1.12846,0.61469,0.95151,0.001931,0.001931,0.001931
64,183569,0.92176,0.41381,0.8924,0.91368,0.9073,0.8999,0.63793,1.13554,0.61962,0.95255,0.0018815,0.0018815,0.0018815
65,186424,0.91376,0.40824,0.89108,0.92221,0.9122,0.90202,0.63959,1.12732,0.61779,0.94775,0.001832,0.001832,0.001832
66,189247,0.91645,0.41498,0.89108,0.90829,0.90608,0.90254,0.63766,1.14694,0.61998,0.95403,0.0017825,0.0017825,0.0017825
1,3397.31,1.37389,1.34748,1.09816,0.56771,0.31291,0.27698,0.15785,1.50639,2.40941,1.18133,0.00565517,0.00496552,0.00496552
2,6739.66,1.3197,0.94116,1.07936,0.67695,0.47254,0.43841,0.26369,1.33349,1.01792,1.05643,0.004505,0.004505,0.004505
